192,24,WordPress.WP.DeprecatedFunctions.get_page_by_titleFound,get_page_by_title() has been deprecated since WordPress version 6.2.0. Use WP_Query instead.
,,,
FILE: EDD_SL_Plugin_Updater.php,,,
Line,Column,Code,Message
506,15,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
506,75,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
510,15,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
514,15,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
514,54,WordPress.Security.NonceVerification.Recommended,Processing form data without nonce verification.
,,,
FILE: README.md,,,
Line,Column,Code,Message
0,0,missing_readme_header_tested,"The ""Tested up to"" header is missing in the readme file.
Learn more (opens in a new tab)"
0,0,no_license,"Missing ""License"".
Please update your readme with a valid GPLv2 (or later) compatible license.
Learn more (opens in a new tab)"
0,0,no_stable_tag,"Invalid or missing Stable Tag.
Your Stable Tag is meant to be the stable version of your plugin and it needs to be exactly the same with the Version in your main plugin file's header. Any mismatch can prevent users from downloading the correct plugin files from WordPress.org.
Learn more (opens in a new tab)"
0,0,mismatched_plugin_name,"Plugin name ""roadmapwp-pro"" is different from the name declared in plugin header ""RoadMapWP Pro"".
Learn more (opens in a new tab)"
,,,
FILE: README.md,,,
Line,Column,Code,Message
0,0,trademarked_term,"The plugin name includes a restricted term. Your plugin name - ""roadmapwp-pro"" - contains the restricted term ""wp"" which can be used , as long as you don't change it to the full name. For example: You can use WP but not WordPress."
,,,
FILE: wp-roadmap-pro.php,,,
Line,Column,Code,Message
0,0,trademarked_term,"The plugin name includes a restricted term. Your plugin name - ""RoadMapWP Pro"" - contains the restricted term ""wp"" which can be used , as long as you don't change it to the full name. For example: You can use WP but not WordPress."
0,0,trademarked_term,"The plugin slug includes a restricted term. Your plugin slug - ""roadmapwp-pro"" - contains the restricted term ""wp"" which can be used within the plugin slug, as long as you don't use the full name in the plugin name. For example: You can use WP but not WordPress."
,,,
FILE: app/admin-functions.php,,,
Line,Column,Code,Message
110,51,PluginCheck.CodeAnalysis.EnqueuedResourceOffloading.OffloadedContent,Found call to wp_enqueue_style() with external resource. Offloading styles to your servers or any remote service is disallowed.
111,52,PluginCheck.CodeAnalysis.EnqueuedResourceOffloading.OffloadedContent,Found call to wp_enqueue_script() with external resource. Offloading scripts to your servers or any remote service is disallowed.
